Route,Destination,Colour,Express
EXSP,Unknown,#595959, 
GYBD,Unknown,#595959, 
GYBN,Unknown,#595959, 
GYVL,Unknown,#595959, 
GYFG,Unknown,#595959, 
GYSH,Unknown,#595959, 
GYCA,Unknown,#595959, 
GYCL,Unknown,#595959, 
GYDB,Unknown,#595959, 
GYEX,Unknown,#595959, 
GYGY,Unknown,#595959, 
GYIP,Unknown,#595959, 
GYNA,Unknown,#595959, 
GYRP,Unknown,#595959, 
GYRW,Unknown,#595959, 
GYSP,Unknown,#595959, 
IPBD,Unknown,#595959, 
IPBN,Unknown,#595959, 
IPVL,Unknown,#595959, 
IPFG,Unknown,#595959, 
IPSH,Unknown,#595959, 
IPCL,Unknown,#595959, 
IPDB,Unknown,#595959, 
IPEX,Unknown,#595959, 
IPGY,Unknown,#595959, 
IPIP,Unknown,#595959, 
IPSP,Unknown,#595959, 
NABD,Unknown,#595959, 
NABN,Unknown,#595959, 
NAVL,Unknown,#595959, 
NAFG,Unknown,#595959, 
NACA,Unknown,#595959, 
NACL,Unknown,#595959, 
NADB,Unknown,#595959, 
NAEX,Unknown,#595959, 
NAGY,Unknown,#595959, 
NANA,Unknown,#595959, 
NARP,Unknown,#595959, 
NARW,Unknown,#595959, 
RPBD,Unknown,#595959, 
RPBN,Unknown,#595959, 
RPVL,Unknown,#595959, 
RPFG,Unknown,#595959, 
RPCA,Unknown,#595959, 
RPCL,Unknown,#595959, 
RPDB,Unknown,#595959, 
RPEX,Unknown,#595959, 
RPGY,Unknown,#595959, 
RPNA,Unknown,#595959, 
RPRP,Unknown,#595959, 
RPRW,Unknown,#595959, 
RWBD,Unknown,#595959, 
RWBN,Unknown,#595959, 
RWVL,Unknown,#595959, 
RWFG,Unknown,#595959, 
RWSH,Unknown,#595959, 
RWCL,Unknown,#595959, 
RWDB,Unknown,#595959, 
RWEX,Unknown,#595959, 
RWGY,Unknown,#595959, 
RWRW,Unknown,#595959, 
RWSP,Unknown,#595959, 
SPBD,Unknown,#595959, 
SPBN,Unknown,#595959, 
SPVL,Unknown,#595959, 
SPFG,Unknown,#595959, 
SPSH,Unknown,#595959, 
SPCL,Unknown,#595959, 
SPDB,Unknown,#595959, 
SPEX,Unknown,#595959, 
SPGY,Unknown,#595959, 
SPIP,Unknown,#595959, 
SPRW,Unknown,#595959, 
SPSP,Unknown,#595959, 
